"","author","title","journal","date"
"191","Elisabeth Oehrlein","Stakeholder perception of pharmaceutical value: A multicriteria decision analysis pilot case study for value assessment in the United States.","Journal of managed care & specialty pharmacy","2022 Oct"
"192","Elisabeth Oehrlein","Developing Patient-Centered Real-World Evidence: Emerging Methods Recommendations From a Consensus Process.","Value in health : the journal of the International Society for Pharmacoeconomics and Outcomes Research","2023 Jan"
"193","Elisabeth Oehrlein","A Foundation for Patient-Centered Core Impact Sets: Key Learnings from Past and Existing Approaches.","The patient","2023 Jul"
"194","Elisabeth Oehrlein","Patient-centeredness and psychometric properties of the Defense and Veterans Pain Rating Scale 2.0 (DVPRS).","Pain medicine (Malden, Mass.)","2024 Jan 4"
"195","Elisabeth Oehrlein","Development and Testing of a Chronic-Disease Patient Experience Mapping Toolbox.","The patient","2024 May"
"196","Elisabeth Oehrlein","Measuring and Demonstrating the Value of Patient Engagement Across the Medicines Lifecycle: A Patient Engagement Impact Measurement Framework.","The patient","2025 Jan"
"197","Elisabeth Oehrlein","Achieving Patient-Centered Value/Health Technology Assessment: Recommendations From a Multistakeholder eDelphi Panel.","Value in health : the journal of the International Society for Pharmacoeconomics and Outcomes Research","2025 Jul 7"
"198","Emily Reese","Generating evidence for comparative effectiveness research using more pragmatic randomized controlled trials.","PharmacoEconomics","2010"
"199","Emily Reese","Cost-effectiveness of cytochrome P450 2C19 genotype screening for selection of antiplatelet therapy with clopidogrel or prasugrel.","Pharmacotherapy","2012 Apr"
"200","Emily Reese","Clinical and demographic characteristics associated with the receipt of chemotherapy treatment among 7951 elderly metastatic colon cancer patients.","Cancer medicine","2013 Dec"
"201","Emily Reese","The emerging relevance of heterogeneity of treatment effect in clinical care: a study using stage IV prostate cancer as a model.","Journal of comparative effectiveness research","2013 Nov"
"202","Emily Reese","Does the type of first-line regimens influence the receipt of second-line chemotherapy treatment? An analysis of 3211 metastatic colon cancer patients.","Cancer medicine","2014 Feb"
"203","Fatima Baysac","Impact of prescription coverage on hospital and physician costs: a case study of medicare beneficiaries with chronic obstructive pulmonary disease.","Clinical therapeutics","2004 Oct"
"204","Fatima Baysac","Riding the rollercoaster: the ups and downs in out-of-pocket spending under the standard Medicare drug benefit.","Health affairs (Project Hope)","2005 Jul-Aug"
"205","Fatima Baysac","Coverage and use of prescription drugs in nursing homes: implications for the medicare modernization act.","Medical care","2006 Mar"
"206","Feng-Hua Loh","Does good medication adherence really save payers money?","Medical care","2015 Jun"
"207","Feng-Hua Loh","Can one or two simple questions predict poor medication adherence?","Journal of evaluation in clinical practice","2021 Feb"
"208","Franklin Hendrick","Patient and physician characteristics associated with erythropoiesis-stimulating agent use in patients with myelodysplastic syndromes.","Haematologica","2012 Jan"
"209","Franklin Hendrick","Tertiary center referral patterns for patients with myelodysplastic syndrome are indicative of age and race disparities: a single-institution experience.","Leukemia & lymphoma","2013 Feb"
"210","Franklin Hendrick","Effect of erythropoiesis-stimulating agent policy decisions on off-label use in myelodysplastic syndromes.","Medicare & medicaid research review","2014"
"211","Franklin Hendrick","Validation of disability status, a claims-based measure of functional status for cancer treatment and outcomes studies.","Medical care","2014 Jun"
"212","Franklin Hendrick","Deferasirox therapy is associated with reduced mortality risk in a medicare population with myelodysplastic syndromes.","Journal of comparative effectiveness research","2015 Aug"
"213","Franklin Hendrick","Assessing functional status and the survival benefit of chemotherapy for advanced non-small cell lung cancer using administrative claims data.","Lung cancer (Amsterdam, Netherlands)","2015 Jan"
"214","Franklin Hendrick","Variations in erythropoiesis-stimulating agent administration in transfusion-dependent myelodysplastic syndromes impact response.","Leukemia research","2015 Jun"
"215","Franklin Hendrick","Patient cost sharing and receipt of erythropoiesis-stimulating agents through medicare part D.","Journal of oncology practice","2015 Mar"
"216","Franklin Hendrick","Data, Data Everywhere, but Access Remains a Big Issue for Researchers: A Review of Access Policies for Publicly-Funded Patient-Level Health Care Data in the United States.","EGEMS (Washington, DC)","2016"
"217","Franklin Hendrick","Proximal Predictors of Long-Term Discontinuance with Noninsulin Antihyperglycemic Agents.","Journal of managed care & specialty pharmacy","2016 Sep"
"218","Franklin Hendrick","Eligibility For And Enrollment In Medicare Part D Medication Therapy Management Programs Varies By Plan Sponsor.","Health affairs (Project Hope)","2016 Sep 1"
"219","Franklin Hendrick","How Low-Income Subsidy Recipients Respond to Medicare Part D Cost Sharing.","Health services research","2017 Jun"
"220","Franklin Hendrick","Does the offer of free prescriptions increase generic prescribing?","The American journal of managed care","2017 Jun 1"
"221","Gabriel Henderson","Documentation of individual-level social determinants of health among adults diagnosed with cancer in the United States.","Scientific reports","2025 Aug 13"
"222","Gaurav Deshpande","New treatment approaches to diabetes.","Managed care (Langhorne, Pa.)","2006 May"
"223","Gaurav Deshpande","Impact of an antimicrobial allergy label in the medical record on clinical outcomes in hospitalized patients.","Pharmacotherapy","2011 Aug"
"224","Gaurav Deshpande","The FDA drug safety surveillance program: adverse event reporting trends.","Archives of internal medicine","2011 Mar 28"
"225","Godwin Okoye","Towards a transactional medicine approach to combating global emerging pathogens: the case of COVID-19.","Global public health","2023 Jan"
"226","Godwin Okoye","Donations wanted: Assessing online medical crowdfunding campaigns created for dementia care.","Journal of the American Geriatrics Society","2023 Sep"
"227","Godwin Okoye","Healthcare resource utilization and costs after initiating direct-acting oral anticoagulants or low molecular weight heparins in patients with venous thromboembolism.","Vascular medicine (London, England)","2025 Apr"
"228","Godwin Okoye","A National Study of Lodging Organizations Supporting Patient and Caregiver Access To Care in the U.S.","Journal of community health","2025 Jun 14"
"229","Godwin Okoye","How Participatory Research Can Inform Antiracism Approaches to Advance Kidney Health Equity.","Journal of the American Society of Nephrology : JASN","2025 Jun 20"
"230","Husam Albarmawi","Informed Consent to Study Purpose in Randomized Clinical Trials of Antibiotics, 1991 Through 2011.","JAMA internal medicine","2017 Oct 1"
"231","Husam Albarmawi","Physician visits and the timing of skeletal-related events among men newly diagnosed with metastatic prostate cancer: A cohort analysis.","Urologic oncology","2018 Jul"
"232","Husam Albarmawi","Patient-level Factors Associated With the Initial Management of Older Adults Diagnosed With Follicular Lymphoma: A Surveillance, Epidemiology, and End Results-Medicare Analysis.","Clinical lymphoma, myeloma & leukemia","2020 Apr"
"233","Husam Albarmawi","Survival benefit associated with treating follicular lymphoma in patients 80 years or older.","Journal of geriatric oncology","2020 Jan"
"234","Husam Albarmawi","Costs associated with follicular lymphoma among individuals diagnosed with non-Hodgkin lymphoma: a longitudinal analysis using SEER-Medicare data.","Leukemia & lymphoma","2020 Jan"
"235","Husam Albarmawi","Follicular lymphoma treatment patterns between 2000 and 2014: a SEER-Medicare analysis of elderly patients.","Future oncology (London, England)","2020 Mar"
"236","Husam Albarmawi","Competencies for Professionals in Health Economics and Outcomes Research: The ISPOR Health Economics and Outcomes Research Competencies Framework.","Value in health : the journal of the International Society for Pharmacoeconomics and Outcomes Research","2020 Sep"
"237","Husam Albarmawi","Health Care Resource Utilization Associated With Parkinson Disease Among Medicare Beneficiaries.","Neurology","2021 Aug 10"
"238","Husam Albarmawi","The economic burden of Parkinson disease among Medicare beneficiaries.","Journal of managed care & specialty pharmacy","2022 Apr"
"239","Husam Albarmawi","Cost-effectiveness of concurrent radiation with cetuximab or chemotherapy in older patients with oropharyngeal cancer.","Journal of comparative effectiveness research","2022 Jun"
"240","Jalpa Doshi","Economic analyses of respiratory syncytial virus immunoprophylaxis in high-risk infants: a systematic review.","Archives of pediatrics & adolescent medicine","2002 Oct"
"241","Jalpa Doshi","Propoxyphene use by community-dwelling and institutionalized elderly Medicare beneficiaries.","Journal of the American Geriatrics Society","2003 Aug"
"242","Jalpa Doshi","Trends in the prescription of inappropriate drugs for the elderly between 1995 and 1999.","The American journal of geriatric pharmacotherapy","2003 Dec"
"243","Jalpa Doshi","Employer-sponsored health insurance and prescription drug coverage for new retirees: dramatic declines in five years.","Health affairs (Project Hope)","2003 Jul-Dec"
"244","Jalpa Doshi","Antihypertensive use and adherence and blood pressure stress response among black caregivers and non-caregivers.","Applied nursing research : ANR","2003 Nov"
"245","Jalpa Doshi","Impact of prescription coverage on hospital and physician costs: a case study of medicare beneficiaries with chronic obstructive pulmonary disease.","Clinical therapeutics","2004 Oct"
"246","Jalpa Doshi","Increased persistency in medication use by U.S. Medicare beneficiaries with diabetes is associated with lower hospitalization rates and cost savings.","Diabetes care","2009 Apr"
"247","Jalpa Doshi","Assessing the impact of drug use on hospital costs.","Health services research","2009 Feb"
"248","Jalpa Doshi","Changing patterns in medication use with increasing probability of death for older Medicare beneficiaries.","Journal of the American Geriatrics Society","2010 Aug"
"249","Jalpa Doshi","Medication use and adherence among elderly Medicare beneficiaries with diabetes enrolled in Part D and retiree health plans.","Medical care","2011 May"
"250","Jalpa Doshi","Impact of Part D low-income subsidies on medication patterns for Medicare beneficiaries with diabetes.","Medical care","2012 Nov"
"251","Jalpa Doshi","Comparative effectiveness and cost-effectiveness analyses frequently agree on value.","Health affairs (Project Hope)","2015 May"
"252","Jalpa Doshi","Data, Data Everywhere, but Access Remains a Big Issue for Researchers: A Review of Access Policies for Publicly-Funded Patient-Level Health Care Data in the United States.","EGEMS (Washington, DC)","2016"
"253","Jalpa Doshi","Impact of Updated Clinical Practice Guidelines on Outpatient Treatment for Clostridioides difficile Infection and Associated Clinical Outcomes.","Open forum infectious diseases","2022 Oct"
"254","Jan Sieluk","The Untapped Potential of Pharmacy Leaflets for Informing Patients About Drug Benefits and Risks.","JAMA internal medicine","2016 Jan"
"255","Jan Sieluk","ADHD medications and cardiovascular adverse events in children and adolescents: cross-national comparison of risk communication in drug labeling.","Pharmacoepidemiology and drug safety","2017 Mar"
"256","Jan Sieluk","Costs of Medical Care Among Augmentation Therapy Users and Non-Users with Alpha-1 Antitrypsin Deficiency in the United States.","Chronic obstructive pulmonary diseases (Miami, Fla.)","2018 Nov 8"
"257","Jan Sieluk","Limitations and Challenges of Conducting Budget Impact Analyses in Rare Diseases: A Case Study of Alpha-1 Antitrypsin Deficiency.","Value in health regional issues","2020 Dec"
"258","Jan Sieluk","Medical costs of Alpha-1 antitrypsin deficiency-associated COPD in the United States.","Orphanet journal of rare diseases","2020 Sep 23"
"259","Jannat Saini","Serious psychological distress and cannabis use among pregnant women in the United States: Findings from the National Survey of Drug Use and Health, 2015-2018.","Drug and alcohol dependence","2021 Dec 1"
"260","Jannat Saini","Vaccine package inserts and prescribing habits of obstetricians-gynecologists for maternal vaccination.","Human vaccines & immunotherapeutics","2021 Oct 3"
"261","Jannat Saini","Self-Reported Treatment Need and Barriers to Care for Adults With Opioid Use Disorder: The US National Survey on Drug Use and Health, 2015 to 2019.","American journal of public health","2022 Feb"
"262","Jannat Saini","Trends in antipsychotic use for youth with attention-deficit/hyperactivity disorder and disruptive behavior disorders.","Pharmacoepidemiology and drug safety","2022 Jul"
"263","Jannat Saini","County-level factors associated with a mismatch between opioid overdose mortality and availability of opioid treatment facilities.","PloS one","2024"
"264","Jennifer Contreras","Emergent Social Capital during the Coronavirus Pandemic in the United States in Hispanics/Latinos.","International journal of environmental research and public health","2023 Apr 11"
"265","Jennifer Contreras","Cross-cultural adaptation of the awareness and beliefs about cancer measure for Hispanics/Latinos living in the United States.","Frontiers in public health","2024"
"266","Jennifer Contreras","Cross-Cultural Adaptation of Health Literacy Instrument for Hispanic and Latino/a/e Communities.","Health literacy research and practice","2025 Jul"
"267","Jeong Eun Park","Economic burden of comorbidities among COPD Patients hospitalized for acute exacerbations: an analysis of a commercially insured population.","Expert review of pharmacoeconomics & outcomes research","2022 Jun"
"268","Jeong Eun Park","Modeling the Health and Economic Burden of Chronic Obstructive Pulmonary Disease in China From 2020 to 2039: A Simulation Study.","Value in health regional issues","2022 Nov"
"269","Jeong Eun Park","Different considerations in economic impacts of aircraft noise.","Journal of exposure science & environmental epidemiology","2025 Jan"
"270","Jeong Eun Park","Projecting the economic burden of health impacts of aircraft noise: a case study of Baltimore Washington International Thurgood Marshall Airport.","Journal of exposure science & environmental epidemiology","2025 Jan"
"271","Jesse Cooke","Longitudinal versus cross-sectional methodology for estimating the economic burden of breast cancer: a pilot study.","PharmacoEconomics","2004"
"272","Jesse Cooke","Economic disparities in treatment costs among ambulatory Medicaid cancer patients.","Journal of the National Medical Association","2004 Dec"
"273","Jesse Cooke","Disparities in prevalence rates for lung, colorectal, breast, and prostate cancers in Medicaid.","Journal of the National Medical Association","2004 Jun"
"274","Jesse Cooke","The potential impact of comparative effectiveness research on the health of minority populations.","Health affairs (Project Hope)","2010 Nov"
"275","Jing Ju","Cost-of-illness studies : a review of current methods.","PharmacoEconomics","2006"
"276","Jing Ju","Principles of economics crucial to pharmacy students' understanding of the prescription drug market.","American journal of pharmaceutical education","2008 Jun 15"
"277","Jingjing Qian","Association of antipsychotic use with hospital events and mortality among medicare beneficiaries residing in long-term care facilities.","The American journal of geriatric psychiatry : official journal of the American Association for Geriatric Psychiatry","2009 May"
"278","Jingjing Qian","Hospital and emergency department utilization associated with treatment for chronic obstructive pulmonary disease in a managed-care Medicare population.","Current medical research and opinion","2009 Nov"
"279","Jingjing Qian","Burden of chronic obstructive pulmonary disease in Medicare beneficiaries residing in long-term care facilities.","The American journal of geriatric pharmacotherapy","2009 Oct"
"280","Jingjing Qian","Impact of maintenance therapy on hospitalization and expenditures for Medicare beneficiaries with chronic obstructive pulmonary disease.","The American journal of geriatric pharmacotherapy","2010 Oct"
"281","Jingjing Qian","An elective psychiatric course to reduce pharmacy students' social distance toward people with severe mental illness.","American journal of pharmaceutical education","2011 May 10"
"282","Jingjing Qian","Influence of prescription monitoring programs on analgesic utilization by an insured retiree population.","Pharmacoepidemiology and drug safety","2012 Dec"
"283","Jingjing Qian","Association of chronic obstructive pulmonary disease maintenance medication adherence with all-cause hospitalization and spending in a Medicare population.","The American journal of geriatric pharmacotherapy","2012 Jun"
"284","Jingjing Qian","Relative Importance of Disease-Modifying Antirheumatic Drug Attributes for Patients with Rheumatoid Arthritis.","Patient preference and adherence","2025"
"285","Joe Vandigo","Consideration for Health Disparities in Value Assessment Frameworks.","ClinicoEconomics and outcomes research : CEOR","2024"
"286","Joe Vandigo","Addressing gaps to strengthen patient-centricity in formulary decision-making: An example applied to Colorado's prescription drug affordability board implementation.","Journal of managed care & specialty pharmacy","2024 Oct"
"287","Joe Vandigo","Achieving Patient-Centered Value/Health Technology Assessment: Recommendations From a Multistakeholder eDelphi Panel.","Value in health : the journal of the International Society for Pharmacoeconomics and Outcomes Research","2025 Jul 7"
"288","Jose Hernandez","Potentially inappropriate prescribing before and after nursing home admission among patients with and without dementia.","The American journal of geriatric pharmacotherapy","2005 Dec"
"289","Jose Hernandez","Validation of a method for identifying nursing home admissions using administrative claims.","BMC health services research","2007 Dec 10"
"290","Jose Hernandez","Determinants of Chest X-Ray Sensitivity for COVID- 19: A Multi-Institutional Study in the United States.","Radiology. Cardiothoracic imaging","2020 Oct"
"291","Joseph Yang","Peer Review and Transparency in Evidence-Source Selection in Value and Health Technology Assessment.","Value in health : the journal of the International Society for Pharmacoeconomics and Outcomes Research","2020 Jun"
"292","Juan-David Rueda","Solving the negative impact of congestion in the postanesthesia care unit: a cost of opportunity analysis.","The Journal of surgical research","2017 Apr"
"293","Juan-David Rueda","Framework for enhancing clinical practice guidelines through continuous patient engagement.","Health expectations : an international journal of public participation in health care and health policy","2017 Feb"
"294","Juan-David Rueda","Impact of formulary restrictions on medication intensification in diabetes treatment.","The American journal of managed care","2018 May"
"295","Juan-David Rueda","A Comprehensive Review of Methods to Measure Oral Oncolytic Dose Intensity Using Retrospective Data.","Journal of managed care & specialty pharmacy","2019 Oct"
"296","Juan-David Rueda","Limitations and Challenges of Conducting Budget Impact Analyses in Rare Diseases: A Case Study of Alpha-1 Antitrypsin Deficiency.","Value in health regional issues","2020 Dec"
"297","Julie Kreyenbuhl","The 2009 schizophrenia PORT psychopharmacological treatment recommendations and summary statements.","Schizophrenia bulletin","2010 Jan"
"298","Julie Kreyenbuhl","Predictors of mortality in patients with serious mental illness and co-occurring type 2 diabetes.","Psychiatry research","2010 May 15"
"299","Julie Kreyenbuhl","A comparison of adherence to hypoglycemic medications between Type 2 diabetes patients with and without serious mental illness.","Psychiatry research","2011 Jun 30"
"300","Julie Kreyenbuhl","Long-term glucose control among type 2 diabetes patients with and without serious mental illness.","The Journal of nervous and mental disease","2011 Nov"
"301","Julie Kreyenbuhl","Antidepressant prescribing patterns among VA patients with schizophrenia.","Schizophrenia research","2012 Apr"
"302","Julie Kreyenbuhl","Glucose control and medication adherence among veterans with diabetes and serious mental illness: does collocation of primary care and mental health care matter?","Diabetes care","2014 Aug"
"303","Julie Kreyenbuhl","Factors associated with shared decision-making preferences among veterans with serious mental illness.","Psychiatric services (Washington, D.C.)","2014 Dec 1"
"304","Julie Kreyenbuhl","Evaluation of brief screens for gambling disorder in the substance use treatment setting.","The American journal on addictions","2015 Aug"
"305","Julie Kreyenbuhl","Gender differences in mood stabilizer medications prescribed to Veterans with serious mental illness.","Journal of affective disorders","2015 Dec 1"
"306","Julie Kreyenbuhl","Practical Monitoring of Treatment Fidelity: Examples From a Team-Based Intervention for People With Early Psychosis.","Psychiatric services (Washington, D.C.)","2015 Jul"
"307","Julie Kreyenbuhl","Gender differences in antipsychotics prescribed to veterans with serious mental illness.","General hospital psychiatry","2015 Jul-Aug"
"308","Julie Kreyenbuhl","Consumer satisfaction with psychiatric services: The role of shared decision making and the therapeutic relationship.","Psychiatric rehabilitation journal","2015 Sep"
"309","Julie Kreyenbuhl","The RAISE Connection Program: Psychopharmacological Treatment of People With a First Episode of Schizophrenia.","Psychiatric services (Washington, D.C.)","2016 Dec 1"
"310","Julie Kreyenbuhl","Access to and Use of the Internet by Veterans with Serious Mental Illness.","Community mental health journal","2016 Feb"
"311","Julie Kreyenbuhl","A review of behavioral tailoring strategies for improving medication adherence in serious mental illness.","Dialogues in clinical neuroscience","2016 Jun"
"312","Julie Kreyenbuhl","Predictors of patient communication in psychiatric medication encounters among veterans with serious mental illnesses.","Psychiatric rehabilitation journal","2016 Jun"
"313","Julie Kreyenbuhl","Twelve-Month Prevalence of DSM-5 Gambling Disorder and Associated Gambling Behaviors Among Those Receiving Methadone Maintenance.","Journal of gambling studies","2016 Mar"
"314","Julie Kreyenbuhl","Prevalence of diagnosed ocular disease in veterans with serious mental illness.","General hospital psychiatry","2016 Nov-Dec"
"315","Julie Kreyenbuhl","Improving Weight in People with Serious Mental Illness: The Effectiveness of Computerized Services with Peer Coaches.","Journal of general internal medicine","2017 Apr"
"316","Julie Kreyenbuhl","A Randomized Controlled Trial of a Patient-Centered Approach to Improve Screening for the Metabolic Side Effects of Antipsychotic Medications.","Community mental health journal","2017 Feb"
"317","Julie Kreyenbuhl","Trends in Prevalence of Diagnosed Ocular Disease and Utilization of Eye Care Services in American Veterans.","American journal of ophthalmology","2017 Jan"
"318","Julie Kreyenbuhl","Pilot feasibility study of Heart2HAART: a smartphone application to assist with adherence among substance users living with HIV.","AIDS care","2017 Jul"
"319","Julie Kreyenbuhl","Racial Differences in Mental Health Recovery among Veterans with Serious Mental Illness.","Journal of racial and ethnic health disparities","2018 Apr"
"320","Julie Kreyenbuhl","Consumer satisfaction with antipsychotic medication-monitoring appointments: the role of consumer-prescriber communication patterns.","International journal of psychiatry in clinical practice","2018 Jun"
"321","Julie Kreyenbuhl","Continue, adjust, or stop antipsychotic medication: developing and user testing an encounter decision aid for people with first-episode and long-term psychosis.","BMC psychiatry","2018 May 22"
"322","Julie Kreyenbuhl","Impact of Online Weight Management With Peer Coaching on Physical Activity Levels of Adults With Serious Mental Illness.","Psychiatric services (Washington, D.C.)","2018 Oct 1"
"323","Julie Kreyenbuhl","Using Administrative Data to Predict Suicide After Psychiatric Hospitalization in the Veterans Health Administration System.","Frontiers in psychiatry","2020"
"324","Julie Kreyenbuhl","Access to Direct-Acting Antiviral Treatment for Hepatitis C Virus Among Veterans With Serious Mental Illness.","Psychiatric services (Washington, D.C.)","2020 Feb 1"
"325","Julie Kreyenbuhl","Quality of life outcomes of web-based and in-person weight management for adults with serious mental illness.","Journal of behavioral medicine","2020 Oct"
"326","Julie Kreyenbuhl","Lipophilic vs. hydrophilic statins and psychiatric hospitalizations and emergency room visits in US Veterans with schizophrenia and bipolar disorder.","Pteridines","2021 Jan"
"327","Julie Kreyenbuhl","Differences in Antipsychotic Treatment Discontinuation Among Veterans With Schizophrenia in the U.S. Department of Veterans Affairs.","The American journal of psychiatry","2021 Oct 1"
"328","Julie Kreyenbuhl","Effect of Pharmacogenomic Testing for Drug-Gene Interactions on Medication Selection and Remission of Symptoms in Major Depressive Disorder: The PRIME Care Randomized Clinical Trial.","JAMA","2022 Jul 12"
"329","Julie Kreyenbuhl","An Argument for Antipsychotic Polypharmacy.","The American journal of psychiatry","2023 May 1"
"330","Julie Kreyenbuhl","Response to Bisol et al.","Schizophrenia research","2024 Aug"
"331","Julie Kreyenbuhl","Suicidality among clients in a network of coordinated specialty care (CSC) programs for first-episode psychosis: Rates, changes in rates, and their predictors.","Schizophrenia research","2024 Dec"
"332","Julie Kreyenbuhl","Tobacco smoking and nicotine vaping in persons with first episode psychosis.","Schizophrenia research","2024 May"
"333","Julie Kreyenbuhl","Connection Learning Healthcare System Hub of the Early Psychosis Intervention Network: Program and Participant Characteristics.","Early intervention in psychiatry","2025 Apr"
"334","Julie Kreyenbuhl","Provider Perspectives on Medication for AUD in Mental Health and Substance Use Disorder Clinics.","Journal of dual diagnosis","2025 Jun 13"
"335","Julie Kreyenbuhl","A Randomized Controlled Trial of an Extension for Community Healthcare Outcomes (ECHO) Tele-mentoring Program to Increase Clozapine Utilization.","Schizophrenia bulletin","2025 Jun 16"
"336","Julie Kreyenbuhl","Building a two-state learning healthcare system for persons with first episode psychosis.","Schizophrenia research","2025 Mar"
"337","Junling Wang","Pharmacy benefit management: enhancing the applicability of pharmacoeconomics for optimal decision making.","PharmacoEconomics","2002"
"338","Junling Wang","Societal implications of the pharmacoeconomics of alpha1-antitrypsin deficiency.","Expert review of pharmacoeconomics & outcomes research","2002 Jun"
"339","Junling Wang","Major components of the direct medical costs of alpha1-antitrypsin deficiency.","Chest","2003 Sep"
"340","Junling Wang","Longitudinal versus cross-sectional methodology for estimating the economic burden of breast cancer: a pilot study.","PharmacoEconomics","2004"
"341","Junling Wang","Economic disparities in treatment costs among ambulatory Medicaid cancer patients.","Journal of the National Medical Association","2004 Dec"
"342","Junling Wang","Impact of an educational intervention for secondary prevention of myocardial infarction on Medicaid drug use and cost.","The American journal of managed care","2004 Jul"
"343","Junling Wang","Disparities in prevalence rates for lung, colorectal, breast, and prostate cancers in Medicaid.","Journal of the National Medical Association","2004 Jun"
"344","Junling Wang","Persistence, switching, and discontinuation rates among patients receiving sertraline, paroxetine, and citalopram.","Pharmacotherapy","2005 May"
"345","Junling Wang","Comparison of first refill rates among users of sertraline, paroxetine, and citalopram.","Clinical therapeutics","2006 Feb"
"346","Junling Wang","Good research practices for measuring drug costs in cost-effectiveness analyses: Medicare, Medicaid and other US government payers perspectives: the ISPOR Drug Cost Task Force report--Part IV.","Value in health : the journal of the International Society for Pharmacoeconomics and Outcomes Research","2010 Jan-Feb"
"347","Junling Wang","Disparities associated with Medicare Part D Star Ratings measures among patients with Alzheimer's disease and related dementias.","Medicine","2023 May 5"
"348","Kayleigh Majercak","Social capital and cost-related medication nonadherence (CRN): A retrospective longitudinal cohort study using the Health and Retirement Study data, 2006-2016.","SSM - population health","2020 Dec"
"349","Kayleigh Majercak","Patient-reported outcomes in breast cancer FDA drug labels and review documents.","Journal of patient-reported outcomes","2021 Apr 21"
"350","Kayleigh Majercak","Capturing the patient experience in systemic lupus erythematosus: Are widely used measures fit-for-purpose and adherent to FDA PRO guidance recommendations?","Journal of patient-reported outcomes","2022 Jan 21"
"351","Kayleigh Majercak","Longitudinal impact of volunteering on the cognitive functioning of older adults: A secondary analysis from the US Health and Retirement Study.","International journal of nursing sciences","2023 Jul"
"352","Kayleigh Majercak","Which social determinants of health have the highest impact in community oncology to advance patient care equity and improve health outcomes? A scoping review.","Cancer medicine","2024 Sep"
"353","Keri Yang","Costs and health care resource utilization among Medicare beneficiaries diagnosed with chronic lymphocytic leukemia.","Journal of managed care & specialty pharmacy","2024 May"
"354","Keri Yang","Disparity in treatment patterns among Medicare beneficiaries diagnosed with chronic lymphocytic leukemia: an analysis of patient and contextual factors.","Leukemia & lymphoma","2024 May"
"355","Kevin Lu","Differences in proxy-reported and patient-reported outcomes: assessing health and functional status among medicare beneficiaries.","BMC medical research methodology","2015 Aug 12"
"356","Laura Bozzi","The Pharmacogenomics of Anti-Platelet Intervention (PAPI) Study: Variation in Platelet Response to Clopidogrel and Aspirin.","Current vascular pharmacology","2016"
"357","Laura Bozzi","Factors associated with use of disease modifying agents for rheumatoid arthritis in the National Hospital and Ambulatory Medical Care Survey.","Seminars in arthritis and rheumatism","2018 Apr"
"358","Laura Bozzi","Utilization of Screening Mammograms in the Medicare Population Before and After the Affordable Care Act Implementation.","Journal of aging and health","2020 Jan-Feb"
"359","Laura Bozzi","Community Adversity and Utilization of Psychotropic Medications Among Children in Foster Care.","The journal of behavioral health services & research","2022 Apr"
"360","Laura Bozzi","Preferences for Treatments for Major Depressive Disorder: Formative Qualitative Research Using the Patient Experience.","The patient","2023 Jan"
"361","Laura Gressler","Treatment modalities for pregnant women with opioid use disorder.","Lancet (London, England)","2018 Aug 18"
"362","Laura Gressler","What motivates people with substance use disorders to pursue treatment? A patient-centered approach to understanding patient experiences and patient-provider interactions.","Journal of substance use","2019"
"363","Laura Gressler","Association of Criminal Statutes for Opioid Use Disorder With Prevalence and Treatment Among Pregnant Women With Commercial Insurance in the United States.","JAMA network open","2019 Mar 1"
"364","Laura Gressler","Nonprescription Medication Use in Hospice Patients.","The American journal of hospice & palliative care","2020 May"
"365","Laura Gressler","Exploring the Use of State Medical Cannabis Legislation as a Proxy for Medical Cannabis Use Among Patients Receiving Chemotherapy.","Current treatment options in oncology","2020 Nov 19"
"366","Laura Gressler","Initiation of Transdermal Fentanyl Among US Commercially Insured Patients Between 2007 and 2015.","Pain medicine (Malden, Mass.)","2020 Oct 1"
"367","Laura Gressler","Trajectories of Opioid Coverage After Long-Term Opioid Therapy Initiation Among a National Cohort of US Veterans.","Journal of pain research","2021"
"368","Laura Gressler","Opioid prescribing and risks among commercially insured women undergoing pelvic organ prolapse repair.","Pharmacoepidemiology and drug safety","2021 Aug"
"369","Laura Gressler","Creation of objective performance criteria among medical devices.","BMJ surgery, interventions, & health technologies","2022"
"370","Laura Gressler","Variability among Online Opioid Conversion Calculators Performing Common Palliative Care Conversions.","Journal of palliative medicine","2022 Apr"
"371","Laura Gressler","Naloxone Prescribing Associated With Reduced Emergency Department Visits in the Military Health System.","Medical care","2022 Dec 1"
"372","Laura Gressler","Data sources and applied methods for paclitaxel safety signal discernment.","Frontiers in cardiovascular medicine","2023"
"373","Laura Gressler","Building the foundation for a modern patient-partnered infrastructure to study temporomandibular disorders.","Frontiers in digital health","2023"
"374","Laura Gressler","A Quantitative Framework to Identify and Prioritize Opportunities in Biomedical Product Innovation: A Proof-of-Concept Study.","JAMA health forum","2023 May 5"
"375","Laura Gressler","Venous Access: National Guideline and Registry Development (VANGUARD): Advancing Patient-Centered Venous Access Care Through the Development of a National Coordinated Registry Network.","Journal of medical Internet research","2023 Nov 24"
"376","Laura Gressler","The association of major adverse limb events and combination stent and atherectomy in patients undergoing revascularization for lower extremity peripheral artery disease.","Catheterization and cardiovascular interventions : official journal of the Society for Cardiac Angiography & Interventions","2023 Oct"
"377","Laura Gressler","Benzonatate Safety and Effectiveness: A Systematic Review of the Literature.","The Annals of pharmacotherapy","2023 Oct"
